jaar;gebiedcode15;gebiedcodetype;gebiednaam;variabele;waarde
2020;DX01;22GEBIEDEN;Centrum-West;BEVTOTAAL;43713
2019;DX01;22GEBIEDEN;Centrum-West;BEVTOTAAL;43543
2017;DX01;22GEBIEDEN;Centrum-West;BEVTOTAAL;43228
2016;DX01;22GEBIEDEN;Centrum-West;BEVTOTAAL;43476
2015;DX01;22GEBIEDEN;Centrum-West;BEVTOTAAL;43585
2020;DX01;22GEBIEDEN;Centrum-West;BEVMAN;22579
2019;DX01;22GEBIEDEN;Centrum-West;BEVMAN;22525
2017;DX01;22GEBIEDEN;Centrum-West;BEVMAN;22301
2016;DX01;22GEBIEDEN;Centrum-West;BEVMAN;22452
2015;DX01;22GEBIEDEN;Centrum-West;BEVMAN;22440
2020;DX01;22GEBIEDEN;Centrum-West;BEVVROUW;21134
2019;DX01;22GEBIEDEN;Centrum-West;BEVVROUW;21018
2017;DX01;22GEBIEDEN;Centrum-West;BEVVROUW;20927
2016;DX01;22GEBIEDEN;Centrum-West;BEVVROUW;21024
2015;DX01;22GEBIEDEN;Centrum-West;BEVVROUW;21145
2020;DX01;22GEBIEDEN;Centrum-West;BEVMAN_P;51.7
2019;DX01;22GEBIEDEN;Centrum-West;BEVMAN_P;51.7
2017;DX01;22GEBIEDEN;Centrum-West;BEVMAN_P;51.6
2016;DX01;22GEBIEDEN;Centrum-West;BEVMAN_P;51.6
2015;DX01;22GEBIEDEN;Centrum-West;BEVMAN_P;51.5
2020;DX01;22GEBIEDEN;Centrum-West;BEVVROUW_P;48.3
2019;DX01;22GEBIEDEN;Centrum-West;BEVVROUW_P;48.3
2017;DX01;22GEBIEDEN;Centrum-West;BEVVROUW_P;48.4
2016;DX01;22GEBIEDEN;Centrum-West;BEVVROUW_P;48.4
2015;DX01;22GEBIEDEN;Centrum-West;BEVVROUW_P;48.5
2020;DX01;22GEBIEDEN;Centrum-West;BEVDICHT;16041
2019;DX01;22GEBIEDEN;Centrum-West;BEVDICHT;15985
2017;DX01;22GEBIEDEN;Centrum-West;BEVDICHT;15807
2016;DX01;22GEBIEDEN;Centrum-West;BEVDICHT;15867
2015;DX01;22GEBIEDEN;Centrum-West;BEVDICHT;15965
2020;DX01;22GEBIEDEN;Centrum-West;BEVSUR;1048
2019;DX01;22GEBIEDEN;Centrum-West;BEVSUR;1049
2017;DX01;22GEBIEDEN;Centrum-West;BEVSUR;996
2016;DX01;22GEBIEDEN;Centrum-West;BEVSUR;1010
2015;DX01;22GEBIEDEN;Centrum-West;BEVSUR;1043
2020;DX01;22GEBIEDEN;Centrum-West;BEVANTIL;365
2019;DX01;22GEBIEDEN;Centrum-West;BEVANTIL;360
2017;DX01;22GEBIEDEN;Centrum-West;BEVANTIL;381
2016;DX01;22GEBIEDEN;Centrum-West;BEVANTIL;362
2015;DX01;22GEBIEDEN;Centrum-West;BEVANTIL;400
2020;DX01;22GEBIEDEN;Centrum-West;BEVTURK;492
2019;DX01;22GEBIEDEN;Centrum-West;BEVTURK;436
2018;DX01;22GEBIEDEN;Centrum-West;BEVTOTAAL;43386
2018;DX01;22GEBIEDEN;Centrum-West;BEVMAN;22421
2018;DX01;22GEBIEDEN;Centrum-West;BEVVROUW;20965
2018;DX01;22GEBIEDEN;Centrum-West;BEVMAN_P;51.7
2018;DX01;22GEBIEDEN;Centrum-West;BEVVROUW_P;48.3
