jaar;gebiedcode15;variabele;waarde;
2020;A00;BEVTOTAAL;4465;
2019;A00;BEVTOTAAL;4293;
2017;A00;BEVTOTAAL;4246;
2016;A00;BEVTOTAAL;4290;
2015;A00;BEVTOTAAL;4262;
2020;A00;BEVMAN;2465;
2019;A00;BEVMAN;2400;
2017;A00;BEVMAN;2341;
2016;A00;BEVMAN;2349;
2015;A00;BEVMAN;2316;
2020;A00;BEVVROUW;2000;
2019;A00;BEVVROUW;1893;
2017;A00;BEVVROUW;1905;
2016;A00;BEVVROUW;1941;
2015;A00;BEVVROUW;1946;
2020;A00;BEVMAN_P;55.2;
2019;A00;BEVMAN_P;55.9;
2017;A00;BEVMAN_P;55.1;
2016;A00;BEVMAN_P;54.8;
2015;A00;BEVMAN_P;54.3;
2020;A00;BEVVROUW_P;44.8;
2019;A00;BEVVROUW_P;44.1;
2017;A00;BEVVROUW_P;44.9;
2016;A00;BEVVROUW_P;45.2;
2015;A00;BEVVROUW_P;45.7;
2020;A00;BEVDICHT;12814;
2019;A00;BEVDICHT;12321;
2017;A00;BEVDICHT;12162;
2016;A00;BEVDICHT;12257;
2015;A00;BEVDICHT;12177;
2018;A00;BEVTOTAAL;4306;
2018;A00;BEVMAN;2397;
2018;A00;BEVVROUW;1909;
2018;A00;BEVMAN_P;55.7;
2018;A00;BEVVROUW_P;44.3;
2018;A00;BEVDICHT;12358;
2018;A00;BEVSUR;82;
2018;A00;BEVANTIL;44;
2018;A00;BEVTURK;35;
2018;A00;BEVMAROK;34;
2018;A00;BEVOVNW;488;
2018;A00;BEVWEST;1343;
2018;A00;BEVAUTOCH;2280;
2018;A00;BEVSUR_P;1.9;
2018;A00;BEVANTIL_P;1.0;
2018;A00;BEVTURK_P;0.8;
2018;A00;BEVMAROK_P;0.8;
2018;A00;BEVOVNW_P;11.3;
2018;A00;BEVWEST_P;31.2;
2018;A00;BEVAUTOCH_P;52.9;
2018;A00;BEVNW;683;
2018;A00;BEVNW_P;15.9;
2018;A00;BEVEGNW;485;
2018;A00;BEVEGWEST;998;
2018;A00;BEVNSTEDELING;2154;
