PC6;Buurt2020;BU_NAAM;Wijk2020;WK_NAAM;Gemeente2020;GM_NAAM
1011AB;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AC;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AD;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AE;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AG;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AH;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AJ;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AK;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AL;3630408;Waterloopleinbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AM;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AN;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AP;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AR;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AS;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AT;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AV;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AW;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AX;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011AZ;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BA;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BB;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BC;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BD;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BG;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BH;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BJ;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BK;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BL;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BM;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BN;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BP;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BR;3630401;Scheepvaarthuisbuurt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BS;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BT;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BV;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BW;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BX;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011BZ;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CA;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CB;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CC;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CD;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CE;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CH;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CJ;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CK;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CL;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CM;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CN;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CP;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CR;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CS;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CT;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CV;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CW;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CX;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011CZ;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DB;3630403;Lastage;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DC;3630404;Nieuwmarkt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DD;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DE;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DG;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DH;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DJ;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DK;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DL;3630400;Oosterdokseiland;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011DZ;3630404;Nieuwmarkt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011EA;3630404;Nieuwmarkt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011EB;3630404;Nieuwmarkt;36304;Nieuwmarkt/Lastage;363;Amsterdam
1011EC;3630404;Nieuwmarkt;36304;Nieuwmarkt/Lastage;363;Amsterdam
